P1,P2,P3,P4,P5,P6,P7,P8,absorbance
1,0,0,0,0,0,0,0,0.363566667
1,0,0,0,0,0,0,1,1.233266667
1,0,0,0,0,0,1,0,1.0535
1,0,0,0,0,0,1,1,1.1447
1,0,0,0,0,1,0,0,0.964
1,0,0,0,0,1,0,1,1.1713
1,0,0,0,0,1,1,0,0.958166667
1,0,0,0,0,1,1,1,1.092
1,0,0,0,1,0,0,0,0.683633333
1,0,0,0,1,0,0,1,1.250166667
1,0,0,0,1,0,1,0,1.078833333
1,0,0,0,1,0,1,1,1.140933333
1,0,0,0,1,1,0,0,0.692466667
1,0,0,0,1,1,0,1,1.209633333
1,0,0,0,1,1,1,0,0.9716
1,0,0,0,1,1,1,1,1.104933333
1,0,0,1,0,0,0,0,1.062833333
1,0,0,1,0,0,0,1,1.128633333
1,0,0,1,0,0,1,0,1.142066667
1,0,0,1,0,0,1,1,1.119133333
1,0,0,1,0,1,0,0,1.1868
1,0,0,1,0,1,0,1,1.191533333
1,0,0,1,0,1,1,0,1.117233333
1,0,0,1,0,1,1,1,1.0323
1,0,0,1,1,0,0,0,1.076933333
1,0,0,1,1,0,0,1,1.169766667
1,0,0,1,1,0,1,0,1.183066667
1,0,0,1,1,0,1,1,1.095433333
1,0,0,1,1,1,0,0,1.288666667
1,0,0,1,1,1,0,1,0.962533333
1,0,0,1,1,1,1,0,1.2234
1,0,0,1,1,1,1,1,1.020366667
1,0,1,0,0,0,0,0,0.801766667
1,0,1,0,0,0,0,1,1.225133333
1,0,1,0,0,0,1,0,0.966066667
1,0,1,0,0,0,1,1,1.201266667
1,0,1,0,0,1,0,0,0.8731
1,0,1,0,0,1,0,1,1.295166667
1,0,1,0,0,1,1,0,0.817666667
1,0,1,0,0,1,1,1,1.1123
1,0,1,0,1,0,0,0,0.920466667
1,0,1,0,1,0,0,1,1.269966667
1,0,1,0,1,0,1,0,0.958433333
1,0,1,0,1,0,1,1,1.142266667
1,0,1,0,1,1,0,0,0.789866667
1,0,1,0,1,1,0,1,1.2799
1,0,1,0,1,1,1,0,0.933566667
1,0,1,0,1,1,1,1,1.074366667
1,0,1,1,0,0,0,0,0.926466667
1,0,1,1,0,0,0,1,1.048
1,0,1,1,0,0,1,0,0.9467
1,0,1,1,0,0,1,1,0.9747
1,0,1,1,0,1,0,0,1.127133333
1,0,1,1,0,1,0,1,1.185966667
1,0,1,1,0,1,1,0,1.106666667
1,0,1,1,0,1,1,1,1.015666667
1,0,1,1,1,0,0,0,0.940466667
1,0,1,1,1,0,0,1,0.9889
1,0,1,1,1,0,1,0,1.1392
1,0,1,1,1,0,1,1,0.898666667
1,0,1,1,1,1,0,0,0.980033333
1,0,1,1,1,1,0,1,1.0139
1,0,1,1,1,1,1,0,0.9413
1,0,1,1,1,1,1,1,0.986766667
1,1,0,0,0,0,0,0,0.648933333
1,1,0,0,0,0,0,1,1.257433333
1,1,0,0,0,0,1,0,0.965733333
1,1,0,0,0,0,1,1,1.082333333
1,1,0,0,0,1,0,0,0.9715
1,1,0,0,0,1,0,1,1.188733333
1,1,0,0,0,1,1,0,0.919333333
1,1,0,0,0,1,1,1,1.053233333
1,1,0,0,1,0,0,0,0.826766667
1,1,0,0,1,0,0,1,1.187866667
1,1,0,0,1,0,1,0,1.011566667
1,1,0,0,1,0,1,1,1.0855
1,1,0,0,1,1,0,0,0.797266667
1,1,0,0,1,1,0,1,1.262
1,1,0,0,1,1,1,0,0.8849
1,1,0,0,1,1,1,1,1.078833333
1,1,0,1,0,0,0,0,1.054333333
1,1,0,1,0,0,0,1,1.135866667
1,1,0,1,0,0,1,0,1.009233333
1,1,0,1,0,0,1,1,1.0461
1,1,0,1,0,1,0,0,0.972433333
1,1,0,1,0,1,0,1,1.178833333
1,1,0,1,0,1,1,0,0.982166667
1,1,0,1,0,1,1,1,0.9696
1,1,0,1,1,0,0,0,0.9285
1,1,0,1,1,0,0,1,1.1251
1,1,0,1,1,0,1,0,0.997166667
1,1,0,1,1,0,1,1,1.175366667
1,1,0,1,1,1,0,0,0.946366667
1,1,0,1,1,1,0,1,1.106866667
1,1,0,1,1,1,1,0,1.0452
1,1,0,1,1,1,1,1,1.0078
1,1,1,0,0,0,0,0,0.8205
1,1,1,0,0,0,0,1,1.252433333
1,1,1,0,0,0,1,0,1.062433333
1,1,1,0,0,0,1,1,1.083333333
1,1,1,0,0,1,0,0,0.726733333
1,1,1,0,0,1,0,1,1.185366667
1,1,1,0,0,1,1,0,0.868466667
1,1,1,0,0,1,1,1,1.108566667
1,1,1,0,1,0,0,0,0.8569
1,1,1,0,1,0,0,1,1.264066667
1,1,1,0,1,0,1,0,0.877566667
1,1,1,0,1,0,1,1,1.093366667
1,1,1,0,1,1,0,0,0.775933333
1,1,1,0,1,1,0,1,1.075466667
1,1,1,0,1,1,1,0,1.038733333
1,1,1,0,1,1,1,1,1.0507
1,1,1,1,0,0,0,0,0.811966667
1,1,1,1,0,0,0,1,1.094633333
1,1,1,1,0,0,1,0,0.963933333
1,1,1,1,0,0,1,1,0.939733333
1,1,1,1,0,1,0,0,0.877633333
1,1,1,1,0,1,0,1,1.1739
1,1,1,1,0,1,1,0,0.973966667
1,1,1,1,0,1,1,1,1.0535
1,1,1,1,1,0,0,0,0.9127
1,1,1,1,1,0,0,1,1.068933333
1,1,1,1,1,0,1,0,0.999566667
1,1,1,1,1,0,1,1,0.966866667
1,1,1,1,1,1,0,0,0.9183
1,1,1,1,1,1,0,1,1.0144
1,1,1,1,1,1,1,0,0.928366667
1,1,1,1,1,1,1,1,1.0927
